feature_name,feature_group,dtype,missing_count,missing_rate,infinite_count,unique_count,variance,min,max,mean,median,standard_deviation,prediction_safe,source_module
temperature_c_roll_min_7d,meteorological,float64,0,0.0,0,105,40.81311,8.2,33.2,22.423288,22.9,6.388514,True,ml.src.features
temperature_c_roll_std_7d,meteorological,float64,0,0.0,0,358,0.398844,0.0,3.790715,1.219695,1.09805,0.631541,True,ml.src.features
temperature_c_roll_var_7d,meteorological,float64,0,0.0,0,359,4.006785,0.0,14.369524,1.885408,1.205714,2.001696,True,ml.src.features
temperature_c_roll_mean_14d,meteorological,float64,0,0.0,0,329,41.197195,10.057143,33.292857,24.043419,26.192857,6.418504,True,ml.src.features
temperature_c_roll_median_14d,meteorological,float64,0,0.0,0,186,41.448708,9.7,33.05,24.039178,26.8,6.438067,True,ml.src.features
temperature_c_roll_max_14d,meteorological,float64,0,0.0,0,72,44.376252,12.5,36.2,26.520548,29.4,6.66155,True,ml.src.features
temperature_c_roll_min_14d,meteorological,float64,0,0.0,0,81,38.640847,8.2,30.8,21.453425,22.1,6.216176,True,ml.src.features
temperature_c_roll_std_14d,meteorological,float64,0,0.0,0,361,0.584828,0.0,4.004318,1.589708,1.405484,0.764741,True,ml.src.features
temperature_c_roll_var_14d,meteorological,float64,0,0.0,0,361,8.911647,0.0,16.03456,3.110397,1.975385,2.985238,True,ml.src.features
temperature_c_roll_mean_30d,meteorological,float64,0,0.0,0,349,41.276132,10.057143,31.373333,23.952175,26.066667,6.42465,True,ml.src.features
temperature_c_roll_median_30d,meteorological,float64,0,0.0,0,186,41.270309,9.7,32.1,23.961096,26.55,6.424197,True,ml.src.features
temperature_c_roll_max_30d,meteorological,float64,0,0.0,0,52,45.028437,12.5,36.2,27.635068,29.7,6.710323,True,ml.src.features
temperature_c_roll_min_30d,meteorological,float64,0,0.0,0,53,39.239176,8.2,28.0,20.100548,21.9,6.264118,True,ml.src.features
temperature_c_roll_std_30d,meteorological,float64,0,0.0,0,362,0.688724,0.0,4.263634,2.089205,1.937222,0.829894,True,ml.src.features
temperature_c_roll_var_30d,meteorological,float64,0,0.0,0,362,15.09733,0.0,18.178575,5.051615,3.752828,3.885528,True,ml.src.features
humidity_pct_roll_mean_3d,meteorological,float64,0,0.0,0,154,274.837648,22.0,90.666667,63.994064,67.0,16.578228,True,ml.src.features
humidity_pct_roll_median_3d,meteorological,float64,0,0.0,0,63,282.93734,22.0,91.0,63.842466,67.0,16.820741,True,ml.src.features
humidity_pct_roll_max_3d,meteorological,float64,0,0.0,0,61,272.547313,22.0,91.0,68.265753,71.0,16.509007,True,ml.src.features
humidity_pct_roll_min_3d,meteorological,float64,0,0.0,0,64,291.824733,20.0,90.0,59.873973,64.0,17.082878,True,ml.src.features
humidity_pct_roll_std_3d,meteorological,float64,0,0.0,0,341,9.959923,0.0,16.623277,4.365521,3.511885,3.155935,True,ml.src.features
humidity_pct_roll_var_3d,meteorological,float64,0,0.0,0,341,1763.937408,0.0,276.333333,28.990411,12.333333,41.999255,True,ml.src.features
humidity_pct_roll_mean_7d,meteorological,float64,0,0.0,0,233,243.106693,24.571429,87.857143,63.984455,67.285714,15.591879,True,ml.src.features
humidity_pct_roll_median_7d,meteorological,float64,0,0.0,0,60,261.053056,25.0,88.0,63.749315,67.0,16.157136,True,ml.src.features
