date,scenario,ood_flag,ood_score,ood_reason
2021-01-15,biomass_low,False,2.2400001791353126,Normal feature distribution
2021-01-16,biomass_low,False,2.280699834122128,Normal feature distribution
2021-01-17,biomass_low,False,2.098945199561723,Normal feature distribution
2021-01-18,biomass_low,False,2.841661767115386,Normal feature distribution
2021-01-19,biomass_low,False,1.9778242378182378,Normal feature distribution
2021-01-20,biomass_low,False,2.2027665115663164,Normal feature distribution
2021-01-21,biomass_low,False,1.8312630684236277,Normal feature distribution
2021-01-22,biomass_low,False,2.240366460796841,Normal feature distribution
2021-01-23,biomass_low,False,2.2810746724970885,Normal feature distribution
2021-01-24,biomass_low,False,2.23055316706438,Normal feature distribution
2021-01-25,biomass_low,False,2.2294546838283993,Normal feature distribution
2021-01-26,biomass_low,False,1.9022101345758373,Normal feature distribution
2021-01-27,biomass_low,False,2.26937377481554,Normal feature distribution
2021-01-28,biomass_low,False,2.430573261282546,Normal feature distribution
2021-01-29,biomass_low,False,2.4328339104037036,Normal feature distribution
2021-01-30,biomass_low,False,2.4316619106741255,Normal feature distribution
2021-01-31,biomass_low,False,1.9774275990393044,Normal feature distribution
2021-02-01,biomass_low,False,2.095531570754652,Normal feature distribution
2021-02-02,biomass_low,False,2.2671666976117333,Normal feature distribution
2021-02-03,biomass_low,False,2.428261144813241,Normal feature distribution
2021-02-04,biomass_low,False,1.9089423329409225,Normal feature distribution
2021-02-05,biomass_low,False,2.2266299460112893,Normal feature distribution
2021-02-06,biomass_low,False,2.123918407603536,Normal feature distribution
2021-02-07,biomass_low,False,1.848029307925217,Normal feature distribution
2021-02-08,biomass_low,False,2.1322181136028453,Normal feature distribution
2021-02-09,biomass_low,False,2.2675386907740998,Normal feature distribution
2021-02-10,biomass_low,False,2.428667006543307,Normal feature distribution
2021-02-11,biomass_low,False,1.889901252022278,Normal feature distribution
2021-02-12,biomass_low,False,1.7647551823647774,Normal feature distribution
2021-02-13,biomass_low,False,1.723039825812277,Normal feature distribution
2021-02-14,biomass_low,False,1.6535142315581097,Normal feature distribution
